"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"1","62.245134430585","25.7463732498027","1"
"1","62.2430375218969","25.7522969666015","2"
"1","62.2406377371537","25.747521165335","3"
"1","62.2385194758183","25.7421191856005","4"
"1","62.2395653864618","25.7327615959063","5"
"1","62.2398330546473","25.7276816361322","6"
"1","62.2398787","25.72705881","7"
"1","62.23991243","25.72665112","8"
"1","62.23992368","25.72602884","9"
"1","62.23993742","25.72557287","10"
"1","62.23995491","25.72534488","11"
"1","62.23967631","25.72521345","12"
"1","62.2393184323728","25.7251753487871","13"
"1","62.2374906143345","25.7202028225976","14"
"1","62.23711308","25.71944784","15"
"1","62.23681822","25.71887385","16"
"1","62.23657333","25.71842324","17"
"1","62.23650586","25.71828377","18"
"1","62.2364334","25.71816575","19"
"1","62.23632344","25.71804773","20"
"1","62.23625847","25.71799945","21"
"1","62.2360881875367","25.7179529051695","22"
"1","62.2327643502753","25.7175048220645","23"
"1","62.2305275267924","25.7104354377672","24"
"1","62.2323300436053","25.7066736870953","25"
"1","62.2303279088555","25.6983885818163","26"
"1","62.2287123090613","25.6952923822376","27"
"1","62.2240436561479","25.6928468460242","28"
"1","62.2170224814821","25.6846940731458","29"
"1","62.2092158160487","25.6661814275298","30"
"1","62.206830240575","25.6509968895808","31"
"1","62.203092499803","25.6378511389301","32"
"1","62.2019725619628","25.6220443406962","33"
"1","62.2001579030818","25.6179066298733","34"
"1","62.195030217544","25.606176301181","35"
"1","62.1905561261362","25.5961424170213","36"
"1","62.1927629190278","25.5827128643524","37"
"1","62.1932039831329","25.5749766222951","38"
"1","62.1966964730302","25.5515278062816","39"
"1","62.1904053254079","25.5567641155612","40"
"1","62.1822036732046","25.5546147953409","41"
"1","62.1796796011906","25.5561352374917","42"
"1","62.1757712629223","25.5538583346042","43"
"1","62.17561334","25.55353613","44"
"1","62.17538299","25.55330009","45"
"1","62.17521773","25.55309624","46"
"1","62.17499738","25.55289239","47"
"1","62.17483713","25.5527851","48"
"1","62.17462179","25.55271001","49"
"1","62.17447154","25.55272073","50"
"1","62.17391064","25.55294604","51"
"1","62.1732281162734","25.5533627642961","52"
"1","62.1707995940541","25.5581343246325","53"
"1","62.1694860770896","25.561713991231","54"
"1","62.1662332542587","25.5710119912163","55"
"1","62.1616154333484","25.5678188705424","56"
"1","62.1575738949969","25.5636728832965","57"
"1","62.1524226732814","25.5624661279371","58"
"1","62.1459990053168","25.5736181418777","59"
"1","62.144852241675","25.5784754215941","60"
"1","62.1447510154505","25.5866247881885","61"
"1","62.1333843753326","25.6302143425394","62"
"1","62.1362780527131","25.6510923503387","63"
"1","62.1372542910846","25.6594721515759","64"
"1","62.1392294199651","25.6669842294047","65"
"1","62.1390834946774","25.6684360519443","66"
"1","62.1361511763508","25.6746484320234","67"
"1","62.1337905968944","25.6745785660779","68"
"1","62.1321290313731","25.6759645253074","69"
"1","62.1305674655431","25.6761449215055","70"
"1","62.1291784805745","25.674883231907","71"
"2","62.2308895412588","25.7108412274274","1"
"2","62.2334158881482","25.7184085801599","2"
"2","62.2366683655667","25.7186448782171","3"
"2","62.2380661579156","25.7213131152702","4"
"2","62.2394133632687","25.7251932126351","5"
"2","62.2422367970886","25.7269178648193","6"
"2","62.248135017934","25.7306000623781","7"
"2","62.2502218812627","25.7333022040149","8"
"2","62.24947110942537","25.736318365556325","9"
"2","62.2469430836873","25.7428461660995","10"
"2","62.245134430585","25.7463732498027","11"
"2","62.2430375218969","25.7522969666015","12"
"2","62.2411981313618","25.7486361691862","13"
"2","62.238664745643","25.743579021333","14"
"2","62.2364490186542","25.7391404193686","15"
"2","62.2340030413178","25.7273613163679","16"
"2","62.23387665","25.72643395","17"
"2","62.23373421","25.72502847","18"
"2","62.23362425","25.7237571","19"
"2","62.23350929","25.72273786","20"
"2","62.23328437","25.72270568","21"
"2","62.23293448","25.7223409","22"
"2","62.23221722","25.72172399","23"
"2","62.2316074","25.72128947","24"
"2","62.2308726","25.72084422","25"
"2","62.23065766","25.72069402","26"
"2","62.22991284","25.72029169","27"
"2","62.2288966308515","25.7199383117913","28"
"2","62.2252444602246","25.7193792333441","29"
"2","62.22435899","25.71924166","30"
"2","62.22394901","25.71918802","31"
"2","62.22357402","25.71913438","32"
"2","62.22329403","25.71910219","33"
"2","62.22297903","25.71903782","34"
"2","62.22211902","25.71873741","35"
"2","62.22165401","25.71854429","36"
"2","62.22119899","25.71831898","37"
"2","62.2207384341835","25.7179668398784","38"
"2","62.2145005453143","25.7154853724346","39"
"2","62.2158780085596","25.718456223203","40"
"2","62.2136414906377","25.7186249562675","41"
"2","62.2095528681356","25.7193421222494","42"
"2","62.2043418772597","25.7220960519369","43"
"2","62.1999899045966","25.7234105199465","44"
"2","62.1951360314381","25.7169960178769","45"
"2","62.1921802023115","25.7147193240253","46"
"2","62.1880472297545","25.7145241403845","47"
"2","62.18690804","25.71591746","48"
"2","62.1859221240239","25.7171249195046","49"
"2","62.18505884","25.71813287","50"
"2","62.18447311","25.71890534","51"
"2","62.18399249","25.71954907","52"
"2","62.1827486533554","25.7218444802163","53"
"2","62.1822502","25.72271408","54"
"2","62.18188971","25.72342218","55"
"2","62.18154424","25.72422685","56"
"2","62.18106359","25.72615803","57"
"2","62.18070308","25.72754205","58"
"2","62.17998207","25.73029937","59"
"2","62.17984187","25.73069633","60"
"2","62.17970668","25.73070706","61"
"2","62.17966662","25.7309431","62"
"2","62.17967163","25.73112549","63"
"2","62.1793419160219","25.7323304459974","64"
"2","62.1785676","25.73493076","65"
"2","62.1783623","25.73561741","66"
"2","62.17795419","25.73669566","67"
"2","62.1769695186997","25.7388721859335","68"
"2","62.17658212","25.73974265","69"
"2","62.17596617","25.74067606","70"
"2","62.1736852196479","25.7433809485665","71"
"2","62.1699810244434","25.7463630844935","72"
"2","62.1696407","25.74643744","73"
"2","62.16808042","25.74702753","74"
"2","62.16791762","25.7470919","75"
"2","62.1673111013324","25.7473429741919","76"
"2","62.16336132","25.74986711","77"
"2","62.1624071587846","25.7503742190604","78"
"2","62.16123707","25.75113311","79"
"2","62.1600847","25.75190558","80"
"2","62.15949346","25.75224891","81"
"2","62.1573081529883","25.7544045594617","82"
"2","62.15705739","25.75467619","83"
"2","62.15675673","25.75493369","84"
"2","62.15642601","25.7549766","85"
"2","62.15567435","25.7548264","86"
"2","62.15386026","25.75435433","87"
"2","62.15315866","25.75420412","88"
"2","62.151424390407","25.753145383139","89"
"2","62.15066404","25.75268981","90"
"2","62.14928573","25.7516813","91"
"2","62.14842863","25.75103757","92"
"2","62.14753141","25.75039384","93"
"2","62.14719056","25.75012562","94"
"2","62.1468812431611","25.7497451546704","95"
"2","62.14663037","25.74956581","96"
"2","62.14633963","25.74927614","97"
"2","62.14514158","25.74743078","98"
"2","62.14488091","25.74687288","99"
"2","62.14457512","25.74620769","100"
"2","62.14431946","25.74572489","101"
"2","62.14407883","25.74525282","102"
"2","62.14366275","25.74459836","103"
"2","62.1429155390682","25.743828935917","104"
"2","62.14264507","25.74368641","105"
"2","62.1424295","25.74345038","106"
"2","62.1420936","25.74320361","107"
"2","62.14179781","25.74293539","108"
"2","62.14162736","25.74277446","109"
"2","62.1414569","25.74266717","110"
"2","62.14133156","25.74254916","111"
"2","62.14115609","25.74255988","112"
"2","62.14076002","25.74265644","113"
"2","62.14044416","25.742753","114"
"2","62.14001799","25.74286029","115"
"2","62.13967706","25.74294612","116"
"2","62.13945645","25.74303195","117"
"2","62.1393662","25.74298904","118"
"2","62.13910047","25.74289248","119"
"2","62.13912554","25.74318215","120"
"2","62.1391580305833","25.7445649002755","121"
"2","62.13921802","25.75062386","122"
"2","62.13926315","25.75423948","123"
"2","62.13923808","25.75544111","124"
"2","62.13912276","25.75686804","125"
"2","62.13892721","25.75844518","126"
"2","62.13888209","25.75885288","127"
"2","62.1392328840477","25.7589358745474","128"
"2","62.1433789512865","25.7622920216639","129"
"2","62.1455173347285","25.7688156804089","130"
"2","62.14552352","25.76900826","131"
"2","62.14548844","25.7693784","132"
"2","62.14544332","25.7697861","133"
"2","62.1454358","25.76990948","134"
"2","62.14544332","25.77016161","135"
"2","62.14545585","25.77054785","136"
"2","62.14546838","25.77096091","137"
"2","62.1454759","25.77128814","138"
"2","62.14546588","25.77148662","139"
"2","62.14543329","25.77178166","140"
"2","62.14538317","25.77200161","141"
"2","62.14533554","25.77215717","142"
"2","62.14527288","25.77230738","143"
"2","62.14501472","25.77257023","144"
"2","62.14487436","25.77261315","145"
"2","62.14428784","25.77273653","146"
"2","62.1433006451001","25.7728879441758","147"
"2","62.1413932053392","25.7702742777384","148"
"2","62.1382001068878","25.7666889095422","149"
"2","62.1327085013261","25.7608836758139","150"
"2","62.1291930085572","25.7603205256048","151"
"2","62.1272637387072","25.762657533306","152"
"2","62.1262118749357","25.7682496728865","153"
"2","62.1242176980995","25.775792597206124","154"
"2","62.1227685724932","25.7742601578758","155"
"2","62.1215458721965","25.7697245961306","156"
"2","62.1210400670714","25.7651602019806","157"
"2","62.1187541911442","25.7602785982556","158"
"2","62.1178609510327","25.7543334206367","159"
"3","62.60147563484578","25.723840621893416","1"
"3","62.60150599277343","25.729902470918805","2"
"3","62.60201542181675","25.73895309993146","3"
"3","62.600203721627565","25.74570751315577","4"
"3","62.59723447476167","25.754914282998133","5"
"3","62.59357021918931","25.762236416659235","6"
"3","62.58876130020926","25.770273264647606","7"
"3","62.58561877687776","25.776465417430273","8"
"3","62.580773056775044","25.78205058516313","9"
"3","62.57586913917996","25.78224881502943","10"
"3","62.572340725133024","25.78147331313012","11"
"3","62.567228319504665","25.788254983588665","12"
"3","62.56341992732247","25.804667242555585","13"
"3","62.563166197141555","25.821462168096375","14"
"3","62.56307954412989","25.830280325734776","15"
"3","62.563086141690675","25.838816006976867","16"
"3","62.56404456036478","25.853245525599018","17"
"3","62.562808300404434","25.842100537018307","18"
"3","62.55864062280323","25.84934265269874","19"
"3","62.553608217916434","25.854858864938176","20"
"3","62.546122332363424","25.860815512272758","21"
"3","62.54359522576578","25.859808242865785","22"
"3","62.5390003037556","25.8634763090925","23"
"3","62.5247482234364","25.872899165649","24"
"3","62.51862322235","25.8728135509171","25"
"3","62.5148367331433","25.8706528818604","26"
"3","62.5093269669661","25.8843400109798","27"
"3","62.49367316469","25.9045154329553","28"
"3","62.4872924935398","25.9134962391924","29"
"3","62.4820782780282","25.9205411870959","30"
"3","62.4762044828522","25.9261215692111","31"
"3","62.4706575616811","25.927646872196","32"
"3","62.462462642537","25.9387344167892","33"
"3","62.4598511912282","25.9414544357343","34"
"3","62.4545071837216","25.9429013205432","35"
